Y;X1;X2;X3;X4;X5;X6;X7
No_Displ;3;9.87;13800;30;CARREFOUR MARKET;90;No_Feat
No_Displ;5;64.57;44129;40;CASINO;200;No_Feat
No_Displ;3;44.34;71797;42;CORA;126;No_Feat
No_Displ;6;83.46;10500;60;INTERMARCHE;360;No_Feat
No_Displ;10;101;114540;45;AUCHAN;450;No_Feat
No_Displ;1;14.9;15492;42;INTERMARCHE;42;No_Feat
No_Displ;1;1.15;15281;4;SUPER U;4;No_Feat
No_Displ;5;59.95;14857;50;CASINO;250;No_Feat
No_Displ;2;34.3;28136;58;SUPER U;116;No_Feat
No_Displ;1;15.87;94099;42;CASINO;42;No_Feat
No_Displ;1;12.55;20115;32;INTERMARCHE;32;No_Feat
No_Displ;3;43.95;136871;58;AUCHAN;174;No_Feat
No_Displ;3;32.76;20086;41;LECLERC;123;No_Feat
No_Displ;4;27.68;91000;35;AUCHAN;140;No_Feat
No_Displ;2;14.3;36948;30;LECLERC;60;No_Feat
No_Displ;4;31.8;108834;19;CARREFOUR;76;No_Feat
No_Displ;1;7.64;46063;20;CASINO;20;No_Feat
No_Displ;23;365.7;220258;38;AUCHAN;874;No_Feat
No_Displ;2;6.78;15492;7;INTERMARCHE;14;No_Feat
No_Displ;4;38.2;78819;32;CORA;128;No_Feat
No_Displ;2;24.76;19622;32;MONOPRIX;64;No_Feat
No_Displ;1;14.5;135818;80;CORA;80;No_Feat
No_Displ;6;73.38;81022;30;CARREFOUR;180;No_Feat
No_Displ;12;79.26;180218;35;CARREFOUR;420;No_Feat
No_Displ;2;17.98;130299;53;AUCHAN;106;No_Feat
No_Displ;1;7.76;21089;20;SUPER U;20;No_Feat
No_Displ;1;8.1;117568;24;CARREFOUR;24;No_Feat
No_Displ;1;11.15;57000;50;CARREFOUR;50;No_Feat
No_Displ;2;19.1;23015;40;SUPER U;80;No_Feat
No_Displ;10;79;35983;24;CARREFOUR MARKET;240;No_Feat
No_Displ;2;13;26574;25;SUPER U;50;No_Feat
No_Displ;1;8.45;16401;40;SIMPLY MARKET;40;No_Feat
No_Displ;2;14.9;39333;30;LECLERC;60;No_Feat
No_Displ;2;10.91;22851;25;INTERMARCHE;50;No_Feat
No_Displ;6;47.7;100962;36;CARREFOUR;216;No_Feat
No_Displ;5;25.8;45170;25;LECLERC;125;No_Feat
No_Displ;1;5.85;265785;25;AUCHAN;25;No_Feat
No_Displ;3;38.72;66074;40;LECLERC;120;No_Feat
No_Displ;1;9.95;5759;32;OTHERS;32;No_Feat
No_Displ;37;183.89;270331;25;AUCHAN;925;No_Feat
No_Displ;1;8.35;69540;40;CARREFOUR;40;No_Feat
No_Displ;4;27.76;104433;26;CARREFOUR;104;No_Feat
No_Displ;8;52.96;45170;25;LECLERC;200;No_Feat
No_Displ;5;63.34;52602;50;CORA;250;No_Feat
No_Displ;2;2.9;32476;5;CASINO;10;No_Feat
No_Displ;2;18;23803;40;INTERMARCHE;80;No_Feat
No_Displ;15;14.85;122184;1;AUCHAN;15;No_Feat
No_Displ;4;36;117568;57;CARREFOUR;228;No_Feat
No_Displ;5;22.75;85541;27;CARREFOUR;135;No_Feat
No_Displ;6;44.52;114540;40;AUCHAN;240;No_Feat
No_Displ;2;7.98;25381;20;LECLERC;40;No_Feat
No_Displ;7;49.14;100483;40;CARREFOUR;280;No_Feat
No_Displ;2;18.22;31000;40;SUPER U;80;No_Feat
No_Displ;2;10.82;57400;25;AUCHAN;50;No_Feat
No_Displ;2;16.88;85681;42;LECLERC;84;No_Feat
No_Displ;2;18.92;16043;20;MATCH;40;No_Feat
No_Displ;1;11.7;90572;43;CARREFOUR;43;No_Feat
No_Displ;7;54.95;9500;24;CARREFOUR MARKET;168;No_Feat
No_Displ;1;7.8;44683;24;LECLERC;24;No_Feat
No_Displ;2;8.6;130299;27;AUCHAN;54;No_Feat
No_Displ;58;103.82;82995;1;AUCHAN;57.99;No_Feat
No_Displ;5;34.05;76884;20;LECLERC;100;No_Feat
No_Displ;2;14.14;62473;30;LECLERC;60;No_Feat
No_Displ;3;42.15;69540;60;CARREFOUR;180;No_Feat
No_Displ;18;449.82;220258;172;AUCHAN;3096;No_Feat
No_Displ;7;41.93;27278;20;PRISUNIC;140;No_Feat
No_Displ;7;48.72;85681;36;LECLERC;252;No_Feat
No_Displ;2;21.9;150545;41;AUCHAN;82;No_Feat
No_Displ;1;6.65;136977;26;CARREFOUR;26;No_Feat
No_Displ;2;13.3;100564;24;CARREFOUR;48;No_Feat
No_Displ;8;60.8;104433;25;CARREFOUR;200;No_Feat
No_Displ;30;135.18;75458;27;LECLERC;810;No_Feat
No_Displ;2;48.26;24494;57;INTERMARCHE;114;No_Feat
No_Displ;3;17.85;100483;27;CARREFOUR;81;No_Feat
No_Displ;3;21.57;9234;35;PRISUNIC;105;No_Feat
No_Displ;3;12.75;14056;30;SUPER U;90;No_Feat
No_Displ;1;6.48;10257;24;INTERMARCHE;24;No_Feat
No_Displ;12;131.4;130299;41;AUCHAN;492;No_Feat
No_Displ;1;8.24;32476;40;CASINO;40;No_Feat
No_Displ;3;23.73;20086;40;LECLERC;120;No_Feat
No_Displ;1;6.23;46063;33;CASINO;33;No_Feat
No_Displ;1;6.99;99693;25;CARREFOUR;25;No_Feat
No_Displ;1;7.5;117568;25;CARREFOUR;25;No_Feat
No_Displ;1;7.66;13800;26;CARREFOUR MARKET;26;No_Feat
No_Displ;17;102.85;21089;45;SUPER U;765;No_Feat
No_Displ;9;93.51;182821;36;AUCHAN;324;No_Feat
No_Displ;1;6.84;97809;40;CORA;40;No_Feat
No_Displ;7;48.3;33170;43;INTERMARCHE;301;No_Feat
No_Displ;1;9.14;75000;25;LECLERC;25;No_Feat
No_Displ;3;18.87;68640;20;LECLERC;60;No_Feat
No_Displ;1;5.9;12805;45;SUPER U;45;No_Feat
No_Displ;1;9.09;100483;20;CARREFOUR;20;No_Feat
No_Displ;3;23.22;90572;25;CARREFOUR;75;No_Feat
No_Displ;1;16.99;62169;40;CASINO;40;No_Feat
No_Displ;22;36.74;59677;1;CARREFOUR;22;No_Feat
No_Displ;7;9.45;27278;5;PRISUNIC;35;No_Feat
No_Displ;1;8.27;6628;24;CASINO;24;No_Feat
No_Displ;4;43.2;91000;45;AUCHAN;180;No_Feat
No_Displ;3;31.08;13000;36;CASINO;108;No_Feat
No_Displ;1;13.98;24500;42;LECLERC;42;No_Feat
No_Displ;1;9.12;21544;40;SUPER U;40;No_Feat
No_Displ;1;7.6;8488;36;CARREFOUR MARKET;36;No_Feat
No_Displ;3;31.74;26108;45;INTERMARCHE;135;No_Feat
No_Displ;1;7.78;85681;24;LECLERC;24;No_Feat
No_Displ;8;45.36;182821;25;AUCHAN;200;No_Feat
No_Displ;1;13.31;93578;39;CASINO;39;Feat
No_Displ;13;74.1;105628;20;AUCHAN;260;No_Feat
No_Displ;2;3.98;24494;7;INTERMARCHE;14;No_Feat
No_Displ;2;22.6;76532;40;CORA;80;No_Feat
No_Displ;3;23.1;19622;26;MONOPRIX;78;No_Feat
No_Displ;1;11.99;4367;30;CASINO;30;No_Feat
No_Displ;22;127.6;160873;40;CARREFOUR;880;No_Feat
No_Displ;24;94.8;152340;26;AUCHAN;624;No_Feat
No_Displ;12;80.18;108834;30;CARREFOUR;360;No_Feat
No_Displ;1;23.91;44752;57;GEANT;57;No_Feat
No_Displ;6;17.94;33170;30;INTERMARCHE;180;No_Feat
No_Displ;4;41.32;81667;40;CORA;160;No_Feat
No_Displ;4;34.76;4055;24;FRANPRIX;96;No_Feat
No_Displ;1;7.38;5406;21;CASINO;21;No_Feat
No_Displ;5;20.75;11500;26;SIMPLY MARKET;130;No_Feat
No_Displ;4;24.4;10810;35;INTERMARCHE;140;No_Feat
No_Displ;3;11.97;47400;12;CORA;36;No_Feat
No_Displ;15;163.5;261640;40;AUCHAN;600;No_Feat
No_Displ;2;15.7;26244;20;MONOPRIX;40;No_Feat
No_Displ;5;19.85;284844;1;CARREFOUR;5;No_Feat
No_Displ;6;40.02;47113;43;CORA;258;No_Feat
No_Displ;4;52.79;69540;50;CARREFOUR;200;No_Feat
No_Displ;8;92.39;125000;28;CARREFOUR;224;No_Feat
No_Displ;27;44.55;190000;1;CARREFOUR;27;No_Feat
No_Displ;2;7.98;44129;26;CASINO;52;No_Feat
No_Displ;5;56.75;123687;30;AUCHAN;150;No_Feat
No_Displ;3;23.55;11185;20;SIMPLY MARKET;60;No_Feat
No_Displ;5;38.7;104433;25;CARREFOUR;125;No_Feat
No_Displ;3;25.42;83553;40;CARREFOUR;120;No_Feat
No_Displ;4;43.84;35500;30;LECLERC;120;No_Feat
No_Displ;1;6.5;23500;40;LECLERC;40;No_Feat
No_Displ;13;84.37;119898;35;CARREFOUR;455;No_Feat
No_Displ;1;7.48;142602;25;CORA;25;No_Feat
No_Displ;1;7.42;61918;36;CORA;36;No_Feat
No_Displ;5;29;166393;27;CARREFOUR;135;No_Feat
No_Displ;19;107.35;102263;40;CARREFOUR;760;No_Feat
No_Displ;3;33.18;75000;32;LECLERC;96;No_Feat
No_Displ;1;8.19;6135;25;PRISUNIC;25;No_Feat
No_Displ;1;6.15;46552;24;CORA;24;No_Feat
No_Displ;4;40.8;38026;36;HYPER U;144;No_Feat
No_Displ;2;11.8;8031;27;CARREFOUR MARKET;54;No_Feat
No_Displ;2;16.5;99639;17;CARREFOUR;34;No_Feat
No_Displ;2;6.1;9186;30;INTERMARCHE;60;No_Feat
No_Displ;1;5.26;100962;20;CARREFOUR;20;No_Feat
No_Displ;17;176.86;85681;40;LECLERC;680;No_Feat
No_Displ;14;108.36;18602;57;LECLERC;798;No_Feat
No_Displ;2;13.94;57400;26;AUCHAN;52;No_Feat
No_Displ;1;11.9;154000;63;AUCHAN;63;No_Feat
No_Displ;8;124.91;66074;40;LECLERC;320;No_Feat
No_Displ;2;15.9;150545;19;AUCHAN;38;No_Feat
No_Displ;4;22.64;76532;25;CORA;100;No_Feat
No_Displ;2;13.36;18261;25;INTERMARCHE;50;No_Feat
No_Displ;5;44.73;109503;28;LECLERC;140;No_Feat
No_Displ;13;102.05;105628;24;AUCHAN;312;No_Feat
No_Displ;1;3.59;3725;25;CASINO;25;No_Feat
No_Displ;2;25.74;82875;50;CORA;100;No_Feat
No_Displ;11;41.36;125000;26;CARREFOUR;286;No_Feat
No_Displ;1;8.88;18261;40;INTERMARCHE;40;No_Feat
No_Displ;1;9.13;23502;40;LECLERC;40;No_Feat
No_Displ;22;261.14;68640;30;LECLERC;660;No_Feat
No_Displ;3;30.77;7429;25;FRANPRIX;75;No_Feat
No_Displ;2;9.98;21992;27;INTERMARCHE;54;No_Feat
No_Displ;1;7.58;180218;20;CARREFOUR;20;No_Feat
No_Displ;2;14.1;23803;25;INTERMARCHE;50;No_Feat
No_Displ;3;21.65;23502;40;LECLERC;120;No_Feat
No_Displ;1;8.15;11185;25;SIMPLY MARKET;25;No_Feat
No_Displ;12;91.32;150993;40;LECLERC;480;No_Feat
No_Displ;1;7.8;136485;24;AUCHAN;24;No_Feat
No_Displ;2;22.5;16401;41;SIMPLY MARKET;82;No_Feat
No_Displ;1;6.41;15367;30;INTERMARCHE;30;No_Feat
No_Displ;3;20.76;49000;40;LECLERC;120;No_Feat
No_Displ;5;18.9;67000;16;CASINO;80;No_Feat
No_Displ;12;123.9;58941;30;CARREFOUR;360;No_Feat
No_Displ;1;9.69;109503;30;LECLERC;30;No_Feat
No_Displ;1;16.99;32408;40;CASINO;40;No_Feat
No_Displ;4;46;160873;40;CARREFOUR;160;No_Feat
No_Displ;10;77.3;45170;57;LECLERC;570;No_Feat
No_Displ;2;21.06;7211;50;MATCH;100;No_Feat
No_Displ;36;179.64;75458;27;LECLERC;972;Feat
No_Displ;1;23.64;56412;57;LECLERC;57;No_Feat
No_Displ;1;6.89;26108;30;INTERMARCHE;30;No_Feat
No_Displ;7;47.95;105628;36;AUCHAN;252;No_Feat
No_Displ;1;6.49;119898;35;CARREFOUR;35;No_Feat
No_Displ;1;7.95;4033;19;CARREFOUR MARKET;19;No_Feat
No_Displ;1;8.5;104433;25;CARREFOUR;25;No_Feat
No_Displ;3;13.35;24494;28;INTERMARCHE;84;No_Feat
No_Displ;16;126.4;18524;26;MATCH;416;Feat
No_Displ;12;79.8;15360;35;CARREFOUR MARKET;420;Feat
No_Displ;5;68.5;78266;60;AUCHAN;300;No_Feat
No_Displ;2;16.84;142602;27;CORA;54;No_Feat
No_Displ;2;16.68;36948;20;LECLERC;40;No_Feat
No_Displ;10;81.58;85681;57;LECLERC;570;No_Feat
No_Displ;12;96.48;21017;25;MONOPRIX;300;No_Feat
No_Displ;7;51.2;136977;20;CARREFOUR;140;No_Feat
No_Displ;2;18.9;90572;28;CARREFOUR;56;No_Feat
No_Displ;2;12.65;76884;35;LECLERC;70;No_Feat
No_Displ;9;112.5;220258;28;AUCHAN;252;No_Feat
No_Displ;1;7.81;10257;27;INTERMARCHE;27;No_Feat
No_Displ;4;26.36;9839;35;SIMPLY MARKET;140;No_Feat
No_Displ;4;29.8;170425;20;AUCHAN;80;No_Feat
No_Displ;6;26.88;67000;27;CASINO;162;No_Feat
No_Displ;1;8;15492;19;INTERMARCHE;19;No_Feat
No_Displ;2;13.6;60927;35;CARREFOUR;70;No_Feat
No_Displ;3;38.85;8400;25;SHOPI;75;No_Feat
No_Displ;2;8.5;70007;25;CORA;50;No_Feat
No_Displ;1;14.75;136871;58;AUCHAN;58;No_Feat
No_Displ;15;207.09;43528;53;MONOPRIX;795;No_Feat
No_Displ;2;20.3;11837;36;SIMPLY MARKET;72;No_Feat
No_Displ;4;39.52;107871;24;AUCHAN;96;No_Feat
No_Displ;5;62;180218;50;CARREFOUR;250;No_Feat
No_Displ;1;7.59;23803;30;INTERMARCHE;30;No_Feat
No_Displ;1;8.29;11500;19;SIMPLY MARKET;19;No_Feat
No_Displ;6;22.68;109503;26;LECLERC;156;No_Feat
No_Displ;5;33.5;48071;43;AUCHAN;215;No_Feat
No_Displ;6;25.5;26574;30;SUPER U;180;No_Feat
No_Displ;3;29.7;44683;30;LECLERC;90;No_Feat
No_Displ;3;4.32;61918;34;CORA;102;No_Feat
No_Displ;1;7.05;36948;28;LECLERC;28;No_Feat
No_Displ;2;31.98;130299;40;AUCHAN;80;No_Feat
No_Displ;4;59.24;70007;38;CORA;152;No_Feat
No_Displ;1;7.95;51500;19;LECLERC;19;No_Feat
No_Displ;1;7.8;14250;24;INTERMARCHE;24;No_Feat
No_Displ;12;51.36;40755;25;LECLERC;300;No_Feat
No_Displ;8;51.76;53000;30;LECLERC;240;No_Feat
No_Displ;9;37.35;220258;26;AUCHAN;234;No_Feat
No_Displ;4;23.96;37845;20;LECLERC;80;No_Feat
No_Displ;9;67.5;35101;30;CARREFOUR MARKET;270;No_Feat
No_Displ;17;102.85;21089;45;SUPER U;765;No_Feat
No_Displ;7;32.06;284844;16;CARREFOUR;112;No_Feat
No_Displ;3;26.61;100564;40;CARREFOUR;120;No_Feat
No_Displ;3;24.96;59677;30;CARREFOUR;90;No_Feat
No_Displ;3;41.85;53000;42;LECLERC;126;No_Feat
No_Displ;1;7.76;49000;36;LECLERC;36;No_Feat
No_Displ;3;24.9;118000;54;AUCHAN;162;No_Feat
No_Displ;10;108.1;114540;32;AUCHAN;320;No_Feat
No_Displ;29;147.6;220258;26;AUCHAN;754;No_Feat
No_Displ;9;105.3;88072;43;CARREFOUR;387;No_Feat
No_Displ;7;12.81;51535;1;CASINO;7;No_Feat
No_Displ;9;58.32;51535;43;CASINO;387;No_Feat
No_Displ;9;83.52;50000;36;LECLERC;324;No_Feat
No_Displ;5;44.95;32408;53;CASINO;265;No_Feat
No_Displ;6;71.4;53968;50;CARREFOUR;300;No_Feat
No_Displ;34;849.66;270331;172;AUCHAN;5848;No_Feat
No_Displ;9;89.1;150993;40;LECLERC;360;No_Feat
No_Displ;4;20.04;25126;27;INTERMARCHE;108;No_Feat
No_Displ;3;21.69;60927;20;CARREFOUR;60;No_Feat
No_Displ;3;27.75;49000;40;LECLERC;120;No_Feat
No_Displ;1;3.38;51522;25;CASINO;25;No_Feat
No_Displ;3;19.98;94780;17;CORA;51;No_Feat
No_Displ;2;23.98;21344;50;CASINO;100;No_Feat
No_Displ;3;20.4;51553;35;CARREFOUR;105;No_Feat
No_Displ;2;29.98;93578;38;CASINO;76;No_Feat
No_Displ;1;8.08;18602;24;LECLERC;24;No_Feat
No_Displ;8;62.8;105628;24;AUCHAN;192;No_Feat
No_Displ;5;39.25;90572;25;CARREFOUR;125;No_Feat
No_Displ;1;9.97;25381;32;LECLERC;32;No_Feat
No_Displ;5;50.45;17046;19;SIMPLY MARKET;95;No_Feat
No_Displ;3;23.25;18827;27;CARREFOUR MARKET;81;No_Feat
No_Displ;5;56.55;39333;30;LECLERC;150;No_Feat
No_Displ;1;11.5;15699;41;INTERMARCHE;41;No_Feat
No_Displ;5;66.75;190000;30;CARREFOUR;150;No_Feat
No_Displ;5;9.17;38026;1;HYPER U;5;No_Feat
No_Displ;2;53.12;13215;172;INTERMARCHE;344;No_Feat
No_Displ;40;66;51553;1;CARREFOUR;40;No_Feat
No_Displ;2;25.7;171476;50;CARREFOUR;100;No_Feat
No_Displ;3;19.35;70007;43;CORA;129;No_Feat
No_Displ;5;66.75;100494;30;CARREFOUR;150;No_Feat
No_Displ;2;15.8;69540;24;CARREFOUR;48;No_Feat
No_Displ;1;20.8;82995;82;AUCHAN;82;No_Feat
No_Displ;5;19.76;11500;35;SIMPLY MARKET;175;No_Feat
No_Displ;9;59.99;51535;25;CASINO;225;No_Feat
No_Displ;11;20.13;44129;1;CASINO;11;No_Feat
No_Displ;9;269.91;170103;160;AUCHAN;1440;No_Feat
No_Displ;1;6.75;19578;26;SIMPLY MARKET;26;No_Feat
No_Displ;7;55.3;58941;25;CARREFOUR;175;No_Feat
No_Displ;1;9.7;9756;40;CASINO;40;No_Feat
No_Displ;6;80.1;60927;30;CARREFOUR;180;No_Feat
No_Displ;2;22.5;7566;45;SIMPLY MARKET;90;No_Feat
No_Displ;1;12.24;21017;30;MONOPRIX;30;No_Feat
No_Displ;1;8.49;16401;57;SIMPLY MARKET;57;No_Feat
No_Displ;3;28.14;130299;40;AUCHAN;120;No_Feat
No_Displ;14;109.2;21992;24;INTERMARCHE;336;No_Feat
No_Displ;4;23;11500;20;SUPER U;80;No_Feat
No_Displ;9;51.03;265785;25;AUCHAN;225;No_Feat
No_Displ;3;36.27;11185;32;SIMPLY MARKET;96;No_Feat
No_Displ;8;61.52;24500;40;SUPER U;320;No_Feat
No_Displ;1;7.99;6000;45;INTERMARCHE;45;No_Feat
No_Displ;1;5.85;99639;25;CARREFOUR;25;No_Feat
No_Displ;2;6.14;9839;25;SIMPLY MARKET;50;No_Feat
No_Displ;1;7.17;18261;20;INTERMARCHE;20;No_Feat
No_Displ;8;39.92;8163;27;INTERMARCHE;216;No_Feat
No_Displ;43;234.35;261640;25;AUCHAN;1075;No_Feat
No_Displ;26;102.18;150545;26;AUCHAN;676;No_Feat
No_Displ;1;7.84;8420;24;MATCH;24;No_Feat
No_Displ;1;7.24;50366;36;LECLERC;36;No_Feat
No_Displ;1;7.97;7500;19;MONOPRIX;19;No_Feat
No_Displ;2;27.6;104433;40;CARREFOUR;80;No_Feat
No_Displ;1;8.23;5091;43;CASINO;43;No_Feat
No_Displ;1;6.99;131098;25;LECLERC;25;No_Feat
No_Displ;10;74.5;19622;35;MONOPRIX;350;No_Feat
No_Displ;6;54.48;171476;20;CARREFOUR;120;No_Feat
No_Displ;2;13.6;30075;35;CARREFOUR MARKET;70;No_Feat
No_Displ;1;7.34;88551;30;CORA;30;No_Feat
No_Displ;34;540.26;182821;80;AUCHAN;2720;Feat
No_Displ;3;41.91;25500;40;SUPER U;120;No_Feat
No_Displ;5;34.75;99639;18;CARREFOUR;90;No_Feat
No_Displ;10;79.5;105628;19;AUCHAN;190;No_Feat
No_Displ;4;27;23502;43;LECLERC;172;No_Feat
No_Displ;9;74.34;23803;57;INTERMARCHE;513;No_Feat
No_Displ;15;149.25;170425;36;AUCHAN;540;No_Feat
No_Displ;2;19.46;13215;32;INTERMARCHE;64;No_Feat
No_Displ;3;18.36;37845;25;LECLERC;75;No_Feat
No_Displ;9;62.91;122184;25;AUCHAN;225;No_Feat
No_Displ;1;6.29;10360;43;INTERMARCHE;43;No_Feat
No_Displ;1;10.45;26000;30;LECLERC;30;No_Feat
No_Displ;1;5.79;24500;15;LECLERC;15;No_Feat
No_Displ;1;7.15;7500;35;MONOPRIX;35;No_Feat
No_Displ;2;3.1;44683;6;LECLERC;12;No_Feat
No_Displ;4;50.36;27052;25;MONOPRIX;100;No_Feat
No_Displ;7;47.88;125026;25;CARREFOUR;175;No_Feat
No_Displ;9;56.97;109503;40;LECLERC;360;No_Feat
No_Displ;1;10.36;30000;30;CASINO;30;No_Feat
No_Displ;2;7.94;50000;26;LECLERC;52;No_Feat
No_Displ;2;17.36;75000;19;LECLERC;38;No_Feat
No_Displ;15;191.85;261640;53;AUCHAN;795;No_Feat
No_Displ;8;43.52;109503;18;LECLERC;144;No_Feat
No_Displ;1;8.6;76532;40;CORA;40;No_Feat
No_Displ;1;5.64;9250;20;INTERMARCHE;20;No_Feat
No_Displ;10;143.5;261640;40;AUCHAN;400;No_Feat
No_Displ;2;19.78;27278;14;PRISUNIC;28;No_Feat
No_Displ;5;40.98;75000;19;LECLERC;95;No_Feat
No_Displ;2;15.6;51500;24;LECLERC;48;No_Feat
No_Displ;2;16.98;123687;25;AUCHAN;50;No_Feat
No_Displ;3;23.88;53000;25;LECLERC;75;No_Feat
No_Displ;7;9.52;99693;6;CARREFOUR;42;No_Feat
No_Displ;5;39.95;45630;25;GEANT;125;No_Feat
No_Displ;13;87.1;93578;43;CASINO;559;No_Feat
No_Displ;4;31.88;73615;40;LECLERC;160;No_Feat
No_Displ;2;19.8;60661;21;AUCHAN;42;No_Feat
No_Displ;1;8.99;4977;27;CASINO;27;No_Feat
No_Displ;3;17.52;182821;27;AUCHAN;81;No_Feat
No_Displ;4;27.8;85681;20;LECLERC;80;No_Feat
No_Displ;3;33.57;47400;40;CORA;120;No_Feat
No_Displ;3;24.27;23015;21;SUPER U;63;No_Feat
No_Displ;3;26.31;85681;20;LECLERC;60;No_Feat
No_Displ;2;23.21;20086;30;LECLERC;60;No_Feat
No_Displ;4;26.84;73150;36;CARREFOUR;144;No_Feat
No_Displ;1;7.39;9234;35;PRISUNIC;35;No_Feat
No_Displ;2;17.52;49000;40;LECLERC;80;No_Feat
No_Displ;2;12.88;36948;20;LECLERC;40;No_Feat
No_Displ;7;80.5;10500;41;INTERMARCHE;287;No_Feat
No_Displ;5;37.86;52602;25;CORA;125;No_Feat
No_Displ;2;14.5;8715;43;CARREFOUR MARKET;86;No_Feat
No_Displ;1;13.39;17248;30;MONOPRIX;30;No_Feat
No_Displ;1;8.39;18524;26;MATCH;26;No_Feat
No_Displ;4;20.6;22851;27;INTERMARCHE;108;No_Feat
No_Displ;56;122.64;78266;33;AUCHAN;1848;No_Feat
No_Displ;3;23.07;14857;21;CASINO;63;No_Feat
No_Displ;4;31.56;12389;24;SIMPLY MARKET;96;No_Feat
No_Displ;38;587.1;56412;72;LECLERC;2736;Feat
No_Displ;1;9.48;38026;30;HYPER U;30;No_Feat
No_Displ;8;78.16;135263;40;CARREFOUR;320;No_Feat
No_Displ;6;15.18;91000;1;AUCHAN;6;No_Feat
No_Displ;4;29.6;64714;40;LECLERC;160;No_Feat
No_Displ;4;18;8163;27;INTERMARCHE;108;No_Feat
No_Displ;6;39.42;50366;60;LECLERC;360;No_Feat
No_Displ;3;23.97;4500;24;SHOPI;72;No_Feat
No_Displ;28;198.68;88072;43;CARREFOUR;1204;No_Feat
No_Displ;1;7.83;7855;35;CASINO;35;No_Feat
No_Displ;1;11.12;9500;32;CARREFOUR MARKET;32;No_Feat
No_Displ;25;155.29;118000;35;AUCHAN;875;No_Feat
No_Displ;7;36.58;91146;27;CASINO;189;No_Feat
No_Displ;2;12.7;76532;24;CORA;48;No_Feat
No_Displ;1;7.59;7304;43;SIMPLY MARKET;43;No_Feat
No_Displ;1;7.52;62473;26;LECLERC;26;No_Feat
No_Displ;1;7.97;39333;40;LECLERC;40;No_Feat
No_Displ;3;19.02;39333;40;LECLERC;120;No_Feat
No_Displ;1;7.59;7304;43;SIMPLY MARKET;43;No_Feat
No_Displ;1;7.9;8241;25;CARREFOUR MARKET;25;No_Feat
No_Displ;2;9.92;170425;25;AUCHAN;50;No_Feat
